"seqid"	"start"	"end"	"strand"	"type"	"Name"	"Dbxref"	"gene"	"interval_start"	"interval_stop"
"NC_044211.2"	19146608	19150205	"+"	"gene"	"SPCS2"	GeneID:100217473	"SPCS2"	19144608	19150205
"NC_044211.2"	19181025	19220075	"+"	"gene"	"C2CD3"	GeneID:100226236	"C2CD3"	19179025	19220075
"NC_044211.2"	19291981	19342000	"+"	"gene"	"SYNJ1"	GeneID:100228100	"SYNJ1"	19289981	19342000
"NC_044211.2"	19933185	19942724	"+"	"gene"	"TIPRL"	GeneID:100223618	"TIPRL"	19931185	19942724
"NC_044211.2"	20498414	20521752	"-"	"gene"	"ATG3"	GeneID:100218879	"ATG3"	20498414	20523752
"NC_044211.2"	20693414	20695719	"+"	"gene"	"TAF13"	GeneID:100190181	"TAF13"	20691414	20695719
"NC_044211.2"	21121753	21623556	"-"	"gene"	"ZBTB20"	GeneID:105758690	"ZBTB20"	21121753	21625556
"NC_044211.2"	21770244	21828755	"+"	"gene"	"GAP43"	GeneID:100226564	"GAP43"	21768244	21828755
"NC_044211.2"	21848484	22862121	"-"	"gene"	"LOC100229373"	GeneID:100229373	"LOC100229373"	21848484	22864121
"NC_044211.2"	23197985	23308327	"-"	"gene"	"IGSF11"	GeneID:100232311	"IGSF11"	23197985	23310327
"NC_044211.2"	23771671	23776500	"-"	"gene"	"NHLH2"	GeneID:100228447	"NHLH2"	23771671	23778500
"NC_044211.2"	23820736	23859991	"+"	"gene"	"SLC22A15"	GeneID:100225614	"SLC22A15"	23818736	23859991
"NC_044211.2"	23939335	23966235	"+"	"gene"	"ATP1A1"	GeneID:100190719	"ATP1A1"	23937335	23966235
"NC_044211.2"	24119474	24267977	"-"	"gene"	"GSK3B"	GeneID:100224604	"GSK3B"	24119474	24269977
"NC_044211.2"	24439901	24442241	"+"	"gene"	"NDUFB4"	GeneID:100190724	"NDUFB4"	24437901	24442241
"NC_044211.2"	24581123	24761192	"+"	"gene"	"STXBP5L"	GeneID:100220713	"STXBP5L"	24579123	24761192
"NC_044211.2"	24925447	24967990	"+"	"gene"	"SIDT1"	GeneID:100232261	"SIDT1"	24923447	24967990
"NC_044211.2"	24967787	25001745	"-"	"gene"	"USF3"	GeneID:100223635	"USF3"	24967787	25003745
"NC_044211.2"	25026334	25056935	"+"	"gene"	"ATP6V1A"	GeneID:100229321	"ATP6V1A"	25024334	25056935
"NC_044211.2"	25134089	25152801	"+"	"gene"	"WDR3"	GeneID:100222071	"WDR3"	25132089	25152801
"NC_044211.2"	25999399	26007205	"-"	"gene"	"MIX23"	GeneID:100189943	"MIX23"	25999399	26009205
"NC_044211.2"	26007386	26015613	"+"	"gene"	"FAM162A"	GeneID:100221093	"FAM162A"	26005386	26015613
"NC_044211.2"	26164837	26168656	"+"	"gene"	"GAPDH"	GeneID:100190636	"GAPDH"	26162837	26168656
"NC_044211.2"	26295903	26322869	"-"	"gene"	"ZNF384"	GeneID:100223019	"ZNF384"	26295903	26324869
"NC_044211.2"	26492991	26495648	"+"	"gene"	"TPI1"	GeneID:100190753	"TPI1"	26490991	26495648
"NC_044211.2"	26505040	26514641	"+"	"gene"	"ENO2"	GeneID:100231650	"ENO2"	26503040	26514641
"NC_044211.2"	26542716	26543599	"+"	"gene"	"C1H12orf57"	GeneID:100190250	"C1H12orf57"	26540716	26543599
"NC_044211.2"	29186143	29250582	"-"	"gene"	"RSF1"	GeneID:100221084	"RSF1"	29186143	29252582
"NC_044211.2"	29250408	29260275	"+"	"gene"	"AAMDC"	GeneID:100219231	"AAMDC"	29248408	29260275
"NC_044211.2"	31542826	31552418	"+"	"gene"	"HIKESHI"	GeneID:100190155	"HIKESHI"	31540826	31552418
"NC_044211.2"	31624830	31690674	"+"	"gene"	"PICALM"	GeneID:100226915	"PICALM"	31622830	31690674
"NC_044211.2"	32995817	33007097	"-"	"gene"	"DDIAS"	GeneID:105759598	"DDIAS"	32995817	33009097
"NC_044211.2"	35145526	35476457	"+"	"gene"	"FAT3"	GeneID:100223418	"FAT3"	35143526	35476457
"NC_044211.2"	36331318	36346709	"-"	"gene"	"CWC15"	GeneID:100190490	"CWC15"	36331318	36348709
"NC_044211.2"	41301027	41315511	"-"	"gene"	"POGLUT3"	GeneID:100220585	"POGLUT3"	41301027	41317511
"NC_044211.2"	41385235	41538366	"+"	"gene"	"DDX10"	GeneID:100232118	"DDX10"	41383235	41538366
"NC_044211.2"	42812493	42837859	"+"	"gene"	"SLITRK1"	GeneID:100223469	"SLITRK1"	42810493	42837859
"NC_044211.2"	43114981	43219622	"-"	"gene"	"LOC115494899"	GeneID:115494899	"LOC115494899"	43114981	43221622
"NC_044211.2"	44210240	44216873	"+"	"gene"	"SPRY2"	GeneID:100226343	"SPRY2"	44208240	44216873
"NC_044211.2"	45806111	45822919	"+"	"gene"	"FBXL3"	GeneID:100219599	"FBXL3"	45804111	45822919
"NC_044211.2"	46156729	46289022	"-"	"gene"	"LMO7"	GeneID:100225324	"LMO7"	46156729	46291022
"NC_044211.2"	46291309	46335975	"-"	"gene"	"UCHL3"	GeneID:100225356	"UCHL3"	46291309	46337975
"NC_044211.2"	47376853	47380998	"+"	"gene"	"MZT1"	GeneID:100190088	"MZT1"	47374853	47380998
"NC_044211.2"	47740483	48093618	"+"	"gene"	"DACH1"	GeneID:100224395	"DACH1"	47738483	48093618
"NC_044211.2"	49837288	50508030	"+"	"gene"	"PCDH9"	GeneID:100230085	"PCDH9"	49835288	50508030
"NC_044211.2"	52655438	52747426	"-"	"gene"	"TDRD3"	GeneID:100217625	"TDRD3"	52655438	52749426
"NC_044211.2"	56181455	56361929	"-"	"gene"	"VWA8"	GeneID:100219571	"VWA8"	56181455	56363929
"NC_044211.2"	56393362	56547162	"+"	"gene"	"DGKH"	GeneID:100218586	"DGKH"	56391362	56547162
"NC_044211.2"	56562928	56606184	"+"	"gene"	"AKAP11"	GeneID:100224363	"AKAP11"	56560928	56606184
"NC_044211.2"	56877166	56902356	"+"	"gene"	"DNAJC15"	GeneID:100230058	"DNAJC15"	56875166	56902356
"NC_044211.2"	57797237	57876225	"+"	"gene"	"GTF2F2"	GeneID:100221487	"GTF2F2"	57795237	57876225
"NC_044211.2"	57823222	57824623	"-"	"gene"	"KCTD4"	GeneID:100189941	"KCTD4"	57823222	57826623
"NC_044211.2"	58105725	58150907	"-"	"gene"	"ZC3H13"	GeneID:100218673	"ZC3H13"	58105725	58152907
"NC_044211.2"	58751883	58771977	"-"	"gene"	"SUCLA2"	GeneID:100227336	"SUCLA2"	58751883	58773977
"NC_044211.2"	58931548	58964960	"-"	"gene"	"LOC100224365"	GeneID:100224365	"LOC100224365"	58931548	58966960
"NC_044211.2"	59256583	59315900	"-"	"gene"	"CAB39L"	GeneID:100226345	"CAB39L"	59256583	59317900
"NC_044211.2"	59365000	59389249	"-"	"gene"	"RCBTB1"	GeneID:100229178	"RCBTB1"	59365000	59391249
"NC_044211.2"	59490649	59610848	"-"	"gene"	"SPRYD7"	GeneID:100135420	"SPRYD7"	59490649	59612848
"NC_044211.2"	60621009	60640872	"+"	"gene"	"MRPS31"	GeneID:100221441	"MRPS31"	60619009	60640872
"NC_044211.2"	60667469	60729009	"+"	"gene"	"FOXO1"	GeneID:100217629	"FOXO1"	60665469	60729009
"NC_044211.2"	60974099	61027468	"-"	"gene"	"COG6"	GeneID:100224368	"COG6"	60974099	61029468
"NC_044211.2"	61666697	61675255	"-"	"gene"	"UFM1"	GeneID:101233520	"UFM1"	61666697	61677255
"NC_044211.2"	62297982	62307581	"-"	"gene"	"EXOSC8"	GeneID:100226285	"EXOSC8"	62297982	62309581
"NC_044211.2"	62659657	62893226	"+"	"gene"	"DCLK1"	GeneID:100225399	"DCLK1"	62657657	62893226
"NC_044211.2"	64235069	64334090	"-"	"gene"	"PDS5B"	GeneID:100231037	"PDS5B"	64235069	64336090
"NC_044211.2"	64435353	64658082	"-"	"gene"	"FRY"	GeneID:100221519	"FRY"	64435353	64660082
"NC_044211.2"	64801587	64825065	"+"	"gene"	"HSPH1"	GeneID:100224462	"HSPH1"	64799587	64825065
"NC_044211.2"	65048743	65157534	"+"	"gene"	"KATNAL1"	GeneID:100217690	"KATNAL1"	65046743	65157534
"NC_044211.2"	65622117	65630472	"-"	"gene"	"POMP"	GeneID:100190371	"POMP"	65622117	65632472
"NC_044211.2"	65776451	65856697	"-"	"gene"	"PAN3"	GeneID:100232100	"PAN3"	65776451	65858697
"NC_044211.2"	66038496	66097665	"+"	"gene"	"LNX2"	GeneID:100222468	"LNX2"	66036496	66097665
"NC_044211.2"	66134610	66140062	"+"	"gene"	"MTIF3"	GeneID:100223405	"MTIF3"	66132610	66140062
"NC_044211.2"	66212058	66213677	"-"	"gene"	"RASL11A"	GeneID:100229104	"RASL11A"	66212058	66215677
"NC_044211.2"	66218192	66222929	"-"	"gene"	"RPL21"	GeneID:100190647	"RPL21"	66218192	66224929
"NC_044211.2"	66618916	66936260	"+"	"gene"	"ATP8A2"	GeneID:100220565	"ATP8A2"	66616916	66936260
"NC_044211.2"	67471441	67524320	"+"	"gene"	"SACS"	GeneID:100226269	"SACS"	67469441	67524320
"NC_044211.2"	68156896	68210241	"-"	"gene"	"FGF9"	GeneID:100217634	"FGF9"	68156896	68212241
"NC_044211.2"	68398178	68399749	"-"	"gene"	"MRPL57"	GeneID:100223428	"MRPL57"	68398178	68401749
"NC_044211.2"	68418154	68421213	"-"	"gene"	"SAP18"	GeneID:100190511	"SAP18"	68418154	68423213
"NC_044211.2"	70357888	70365170	"+"	"gene"	"SLITRK5"	GeneID:100226341	"SLITRK5"	70355888	70365170
"NC_044211.2"	72621106	73132519	"+"	"gene"	"GPC6"	GeneID:100230403	"GPC6"	72619106	73132519
"NC_044211.2"	73647161	73677463	"+"	"gene"	"DNAJC3"	GeneID:100221840	"DNAJC3"	73645161	73677463
"NC_044211.2"	75919430	76148526	"-"	"gene"	"NALCN"	GeneID:100226697	"NALCN"	75919430	76150526
"NC_044211.2"	76828536	76843105	"+"	"gene"	"BIVM"	GeneID:100415772	"BIVM"	76826536	76843105
"NC_044211.2"	78460587	78470989	"-"	"gene"	"ARGLU1"	GeneID:100222828	"ARGLU1"	78460587	78472989
"NC_044211.2"	78700498	79138110	"-"	"gene"	"NALF1"	GeneID:100217959	"NALF1"	78700498	79140110
"NC_044211.2"	79298070	79309805	"+"	"gene"	"ABHD13"	GeneID:100228577	"ABHD13"	79296070	79309805
"NC_044211.2"	79920972	79929005	"-"	"gene"	"AKAP17A"	GeneID:100226681	"AKAP17A"	79920972	79931005
"NC_044211.2"	80027719	80031361	"+"	"gene"	"SLC25A6"	GeneID:100190146	"SLC25A6"	80025719	80031361
"NC_044211.2"	80030173	80052306	"-"	"gene"	"LOC101233002"	GeneID:101233002	"LOC101233002"	80030173	80054306
"NC_044211.2"	81379113	81480861	"+"	"gene"	"HERC2"	GeneID:100226646	"HERC2"	81377113	81480861
"NC_044211.2"	82735763	82796806	"+"	"gene"	"UBE3A"	GeneID:100219901	"UBE3A"	82733763	82796806
"NC_044211.2"	83160896	83166006	"+"	"gene"	"UNC50"	GeneID:100231393	"UNC50"	83158896	83166006
"NC_044211.2"	83398105	83432587	"+"	"gene"	"EIF5B"	GeneID:100230378	"EIF5B"	83396105	83432587
"NC_044211.2"	84219877	84224801	"+"	"gene"	"RPL31"	GeneID:100189948	"RPL31"	84217877	84224801
"NC_044211.2"	84430423	84593764	"+"	"gene"	"MAP4K4"	GeneID:100226701	"MAP4K4"	84428423	84593764
"NC_044211.2"	85780089	85823230	"-"	"gene"	"LOC105758648"	GeneID:105758648	"LOC105758648"	85780089	85825230
"NC_044211.2"	85964413	86000974	"-"	"gene"	"TGFBRAP1"	GeneID:100231438	"TGFBRAP1"	85964413	86002974
"NC_044211.2"	86319122	86374662	"-"	"gene"	"UXS1"	GeneID:100228578	"UXS1"	86319122	86376662
"NC_044211.2"	87144081	87177618	"+"	"gene"	"LOC100221862"	GeneID:100221862	"LOC100221862"	87142081	87177618
"NC_044211.2"	88252918	88287504	"+"	"gene"	"GRTP1"	GeneID:100232388	"GRTP1"	88250918	88287504
"NC_044211.2"	88426003	88576088	"-"	"gene"	"MCF2L"	GeneID:100226651	"MCF2L"	88426003	88578088
"NC_044211.2"	88587145	88705499	"-"	"gene"	"ATP11A"	GeneID:100220889	"ATP11A"	88587145	88707499
"NC_044211.2"	89628210	89678944	"-"	"gene"	"NAXD"	GeneID:100219904	"NAXD"	89628210	89680944
"NC_044211.2"	89753226	89893081	"-"	"gene"	"COL4A2"	GeneID:100218909	"COL4A2"	89753226	89895081
"NC_044211.2"	90148891	90177691	"+"	"gene"	"IRS2"	GeneID:100220894	"IRS2"	90146891	90177691
"NC_044211.2"	90392645	90750237	"-"	"gene"	"MYO16"	GeneID:100225660	"MYO16"	90392645	90752237
"NC_044211.2"	93760411	93952080	"+"	"gene"	"TBL1X"	GeneID:100221758	"TBL1X"	93758411	93952080
"NC_044211.2"	94252449	94297656	"+"	"gene"	"CLCN4"	GeneID:100227573	"CLCN4"	94250449	94297656
"NC_044211.2"	95232827	95524761	"+"	"gene"	"FRMPD4"	GeneID:100226029	"FRMPD4"	95230827	95524761
"NC_044211.2"	95658235	95659820	"+"	"gene"	"TMSB4X"	GeneID:100190752	"TMSB4X"	95656235	95659820
"NC_044211.2"	96604020	96635585	"+"	"gene"	"MOSPD2"	GeneID:100230840	"MOSPD2"	96602020	96635585
"NC_044211.2"	98115821	98159544	"+"	"gene"	"RAI2"	GeneID:100228930	"RAI2"	98113821	98159544
"NC_044211.2"	98630422	98642688	"+"	"gene"	"PDHA1"	GeneID:100225079	"PDHA1"	98628422	98642688
"NC_044211.2"	98995736	99077226	"-"	"gene"	"MAP7D2"	GeneID:100218444	"MAP7D2"	98995736	99079226
"NC_044211.2"	99097782	99106703	"-"	"gene"	"EIF1AX"	GeneID:100223220	"EIF1AX"	99097782	99108703
"NC_044211.2"	99108149	99182756	"-"	"gene"	"RPS6KA3"	GeneID:100227972	"RPS6KA3"	99108149	99184756
"NC_044211.2"	99867549	99910770	"+"	"gene"	"SMS"	GeneID:100228014	"SMS"	99865549	99910770
"NC_044211.2"	100563129	100571069	"+"	"gene"	"PRDX4"	GeneID:100224118	"PRDX4"	100561129	100571069
"NC_044211.2"	100604772	100607618	"+"	"gene"	"SAT1"	GeneID:100190555	"SAT1"	100602772	100607618
"NC_044211.2"	100625034	100652592	"-"	"gene"	"APOO"	GeneID:100226036	"APOO"	100625034	100654592
"NC_044211.2"	102899098	102901988	"-"	"gene"	"NR0B1"	GeneID:100228016	"NR0B1"	102899098	102903988
"NC_044211.2"	103089655	103133560	"-"	"gene"	"TAB3"	GeneID:100222233	"TAB3"	103089655	103135560
"NC_044211.2"	106440512	106540647	"+"	"gene"	"USP9X"	GeneID:100230862	"USP9X"	106438512	106540647
"NC_044211.2"	106544981	106548656	"-"	"gene"	"RPL8"	GeneID:100190564	"RPL8"	106544981	106550656
"NC_044211.2"	107343488	107363726	"-"	"gene"	"LOC100224175"	GeneID:100224175	"LOC100224175"	107343488	107365726
"NC_044211.2"	108219440	108256954	"-"	"gene"	"TRAPPC10"	GeneID:100221241	"TRAPPC10"	108219440	108258954
"NC_044211.2"	108796200	108812843	"+"	"gene"	"U2AF1"	GeneID:100190246	"U2AF1"	108794200	108812843
"NC_044211.2"	108889609	108929548	"-"	"gene"	"PKNOX1"	GeneID:100228899	"PKNOX1"	108889609	108931548
"NC_044211.2"	108946332	108954748	"-"	"gene"	"NDUFV3"	GeneID:100231827	"NDUFV3"	108946332	108956748
"NC_044211.2"	109680726	109737986	"-"	"gene"	"BACE2"	GeneID:100224177	"BACE2"	109680726	109739986
"NC_044211.2"	109893688	110383346	"+"	"gene"	"DSCAM"	GeneID:100228289	"DSCAM"	109891688	110383346
"NC_044211.2"	110421991	110469613	"-"	"gene"	"PCP4"	GeneID:100217741	"PCP4"	110421991	110471613
"NC_044211.2"	110835119	110850060	"-"	"gene"	"ETS2"	GeneID:100222584	"ETS2"	110835119	110852060
"NC_044211.2"	111475069	111552096	"-"	"gene"	"DYRK1A"	GeneID:100230197	"DYRK1A"	111475069	111554096
"NC_044211.2"	112799076	112810301	"-"	"gene"	"SMIM11A"	GeneID:100218890	"SMIM11A"	112799076	112812301
"NC_044211.2"	112949707	112971074	"-"	"gene"	"SLC5A3"	GeneID:121470707	"SLC5A3"	112949707	112973074
"NC_044211.2"	113043434	113046947	"+"	"gene"	"ATP5PO"	GeneID:100190523	"ATP5PO"	113041434	113046947
"NC_044211.2"	113088351	113128034	"-"	"gene"	"GART"	GeneID:100217856	"GART"	113088351	113130034
"NC_044211.2"	113178182	113192928	"-"	"gene"	"CRYZL1"	GeneID:100230307	"CRYZL1"	113178182	113194928
"NC_044211.2"	113192878	113299035	"+"	"gene"	"ITSN1"	GeneID:100227503	"ITSN1"	113190878	113299035
"NC_044211.2"	113832777	113834976	"-"	"gene"	"RPS11"	GeneID:100189964	"RPS11"	113832777	113836976
"NC_044211.2"	113895032	113897579	"-"	"gene"	"RRP8"	GeneID:100231306	"RRP8"	113895032	113899579
"NC_044212.2"	50741	87224	"+"	"gene"	"GOLGB1"	GeneID:100226519	"GOLGB1"	48741	87224
"NC_044212.2"	120868	123495	"-"	"gene"	"NME6"	GeneID:100222652	"NME6"	120868	125495
"NC_044212.2"	123926	128223	"+"	"gene"	"RABL2A"	GeneID:100190120	"RABL2A"	121926	128223
"NC_044212.2"	1584685	1599410	"-"	"gene"	"SLC35B4"	GeneID:100218121	"SLC35B4"	1584685	1601410
"NC_044212.2"	5217443	5765049	"+"	"gene"	"CELF2"	GeneID:100221037	"CELF2"	5215443	5765049
"NC_044212.2"	5972446	5996938	"+"	"gene"	"PROSER2"	GeneID:100218666	"PROSER2"	5970446	5996938
"NC_044212.2"	6005962	6057985	"-"	"gene"	"UPF2"	GeneID:100218189	"UPF2"	6005962	6059985
"NC_044212.2"	6086828	6100823	"+"	"gene"	"SEC61A2"	GeneID:100230635	"SEC61A2"	6084828	6100823
"NC_044212.2"	6622336	6979249	"-"	"gene"	"FRMD4A"	GeneID:100231585	"FRMD4A"	6622336	6981249
"NC_044212.2"	7417706	7520317	"-"	"gene"	"GRM3"	GeneID:751962	"GRM3"	7417706	7522317
"NC_044212.2"	11732598	11736491	"+"	"gene"	"TMEM60"	GeneID:100228292	"TMEM60"	11730598	11736491
"NC_044212.2"	11736425	11786779	"-"	"gene"	"RSBN1L"	GeneID:100223533	"RSBN1L"	11736425	11788779
"NC_044212.2"	12232471	12509023	"-"	"gene"	"RELN"	GeneID:100231258	"RELN"	12232471	12511023
"NC_044212.2"	13190023	13300470	"-"	"gene"	"ATXN7L1"	GeneID:100222578	"ATXN7L1"	13190023	13302470
"NC_044212.2"	13862781	13868782	"+"	"gene"	"GPR22"	GeneID:100223537	"GPR22"	13860781	13868782
"NC_044212.2"	14017576	14032361	"+"	"gene"	"DLD"	GeneID:100230199	"DLD"	14015576	14032361
"NC_044212.2"	14445931	14484759	"+"	"gene"	"ABCD2"	GeneID:100221578	"ABCD2"	14443931	14484759
"NC_044212.2"	14975400	14980994	"-"	"gene"	"LOC115490609"	GeneID:115490609	"LOC115490609"	14975400	14982994
"NC_044212.2"	14990923	15001802	"+"	"gene"	"TRMU"	GeneID:100224137	"TRMU"	14988923	15001802
"NC_044212.2"	15200654	15220045	"-"	"gene"	"LOC100221272"	GeneID:100221272	"LOC100221272"	15200654	15222045
"NC_044212.2"	15219571	15296066	"+"	"gene"	"GRAMD4"	GeneID:100227996	"GRAMD4"	15217571	15296066
"NC_044212.2"	16531579	16532552	"-"	"gene"	"LOC115493513"	GeneID:115493513	"LOC115493513"	16531579	16534552
"NC_044212.2"	18128066	18140727	"+"	"gene"	"CRELD2"	GeneID:100220301	"CRELD2"	18126066	18140727
"NC_044212.2"	19295288	19308621	"-"	"gene"	"MLC1"	GeneID:100225170	"MLC1"	19295288	19310621
"NC_044212.2"	19416882	19449364	"+"	"gene"	"TRABD"	GeneID:100220251	"TRABD"	19414882	19449364
"NC_044212.2"	20081893	20395355	"+"	"gene"	"GRM8"	GeneID:751963	"GRM8"	20079893	20395355
"NC_044212.2"	21319471	21369589	"+"	"gene"	"WASL"	GeneID:100228869	"WASL"	21317471	21369589
"NC_044212.2"	21443335	21492348	"+"	"gene"	"LOC100225098"	GeneID:100225098	"LOC100225098"	21441335	21492348
"NC_044212.2"	21969719	22100939	"-"	"gene"	"PTPRZ1"	GeneID:100219392	"PTPRZ1"	21969719	22102939
"NC_044212.2"	22266328	22295991	"+"	"gene"	"FAM3C"	GeneID:100221204	"FAM3C"	22264328	22295991
"NC_044212.2"	23440761	23488578	"+"	"gene"	"ANKRD26"	GeneID:100221258	"ANKRD26"	23438761	23488578
"NC_044212.2"	23495876	23500185	"-"	"gene"	"LSM8"	GeneID:100230262	"LSM8"	23495876	23502185
"NC_044212.2"	24035427	24067745	"-"	"gene"	"CAPZA2"	GeneID:100230823	"CAPZA2"	24035427	24069745
"NC_044212.2"	24984966	25001038	"+"	"gene"	"LOC105758560"	GeneID:105758560	"LOC105758560"	24982966	25001038
"NC_044212.2"	25825844	25886645	"+"	"gene"	"GPR85"	GeneID:100219343	"GPR85"	25823844	25886645
"NC_044212.2"	27460897	27497324	"+"	"gene"	"PNPLA8"	GeneID:100229888	"PNPLA8"	27458897	27497324
"NC_044212.2"	27514052	27658880	"+"	"gene"	"NRCAM"	GeneID:100227089	"NRCAM"	27512052	27658880
"NC_044212.2"	28984422	29003905	"-"	"gene"	"TWF1"	GeneID:100225082	"TWF1"	28984422	29005905
"NC_044212.2"	29620768	29712946	"+"	"gene"	"ARID2"	GeneID:100222266	"ARID2"	29618768	29712946
"NC_044212.2"	29717729	29768031	"-"	"gene"	"SCAF11"	GeneID:100218397	"SCAF11"	29717729	29770031
"NC_044212.2"	29792163	29834329	"-"	"gene"	"SLC38A1"	GeneID:100228029	"SLC38A1"	29792163	29836329
"NC_044212.2"	29859426	29875461	"-"	"gene"	"SLC38A2"	GeneID:100219404	"SLC38A2"	29859426	29877461
"NC_044212.2"	30841008	30851107	"-"	"gene"	"LOC121468349"	GeneID:121468349	"LOC121468349"	30841008	30853107
"NC_044212.2"	31482224	31666819	"-"	"gene"	"TAFA2"	GeneID:100231415	"TAFA2"	31482224	31668819
"NC_044212.2"	31757480	31833440	"+"	"gene"	"MON2"	GeneID:100232409	"MON2"	31755480	31833440
"NC_044212.2"	31856129	31987048	"-"	"gene"	"PPM1H"	GeneID:100223790	"PPM1H"	31856129	31989048
"NC_044212.2"	32355059	32358522	"-"	"gene"	"RPL18A"	GeneID:100231477	"RPL18A"	32355059	32360522
"NC_044212.2"	32647341	32684644	"-"	"gene"	"WIF1"	GeneID:100223731	"WIF1"	32647341	32686644
"NC_044212.2"	32703425	32745503	"+"	"gene"	"LEMD3"	GeneID:100220793	"LEMD3"	32701425	32745503
"NC_044212.2"	34163075	34168268	"+"	"gene"	"YEATS4"	GeneID:100217948	"YEATS4"	34161075	34168268
"NC_044212.2"	34185666	34237440	"+"	"gene"	"FRS2"	GeneID:100230398	"FRS2"	34183666	34237440
"NC_044212.2"	34239028	34251285	"+"	"gene"	"CCT2"	GeneID:100190090	"CCT2"	34237028	34251285
"NC_044212.2"	34304327	34336499	"+"	"gene"	"LOC100224701"	GeneID:100224701	"LOC100224701"	34302327	34336499
"NC_044212.2"	34469035	34551313	"+"	"gene"	"CNOT2"	GeneID:100221773	"CNOT2"	34467035	34551313
"NC_044212.2"	35173010	35208502	"+"	"gene"	"TBC1D15"	GeneID:100222838	"TBC1D15"	35171010	35208502
"NC_044212.2"	36248132	36349360	"-"	"gene"	"KCNC2"	GeneID:100231406	"KCNC2"	36248132	36351360
"NC_044212.2"	36432880	36437711	"-"	"gene"	"KRR1"	GeneID:100225670	"KRR1"	36432880	36439711
"NC_044212.2"	36579777	36608662	"-"	"gene"	"NAP1L1"	GeneID:100222795	"NAP1L1"	36579777	36610662
